Higher,Lower,Texture
A♠ A♥,9♥ 2♠,Type1212
A♠ A♥,8♠ 8♥,Type1212
A♠ A♥,8♠ 7♥,Type1212
A♠ A♥,8♠ 6♥,Type1212
A♠ A♥,8♠ 5♥,Type1212
A♠ A♥,8♠ 4♥,Type1212
A♠ A♥,8♠ 3♥,Type1212
A♠ A♥,8♠ 2♥,Type1212
A♠ A♥,8♥ 7♠,Type1212
A♠ A♥,8♥ 6♠,Type1212
A♠ A♥,8♥ 5♠,Type1212
A♠ A♥,8♥ 4♠,Type1212
A♠ A♥,8♥ 3♠,Type1212
A♠ A♥,8♥ 2♠,Type1212
A♠ A♥,7♠ 7♥,Type1212
A♠ A♥,7♠ 6♥,Type1212
A♠ A♥,7♠ 5♥,Type1212
A♠ A♥,7♠ 4♥,Type1212
A♠ A♥,7♠ 3♥,Type1212
A♠ A♥,7♠ 2♥,Type1212
A♠ A♥,7♥ 6♠,Type1212
A♠ A♥,7♥ 5♠,Type1212
A♠ A♥,7♥ 4♠,Type1212
A♠ A♥,7♥ 3♠,Type1212
A♠ A♥,7♥ 2♠,Type1212
A♠ A♥,6♠ 6♥,Type1212
A♠ A♥,6♠ 5♥,Type1212
A♠ A♥,6♠ 4♥,Type1212
A♠ A♥,6♠ 3♥,Type1212
A♠ A♥,6♠ 2♥,Type1212
A♠ A♥,6♥ 5♠,Type1212
A♠ A♥,6♥ 4♠,Type1212
A♠ A♥,6♥ 3♠,Type1212
A♠ A♥,6♥ 2♠,Type1212
A♠ A♥,5♠ 5♥,Type1212
A♠ A♥,5♠ 4♥,Type1212
A♠ A♥,5♠ 3♥,Type1212
A♠ A♥,5♠ 2♥,Type1212
A♠ A♥,5♥ 4♠,Type1212
A♠ A♥,5♥ 3♠,Type1212
A♠ A♥,5♥ 2♠,Type1212
A♠ A♥,4♠ 4♥,Type1212
A♠ A♥,4♠ 3♥,Type1212
A♠ A♥,4♠ 2♥,Type1212
A♠ A♥,4♥ 3♠,Type1212
A♠ A♥,4♥ 2♠,Type1212
A♠ A♥,3♠ 3♥,Type1212
A♠ A♥,3♠ 2♥,Type1212
A♠ A♥,3♥ 2♠,Type1212
A♠ A♥,2♠ 2♥,Type1212
A♠ A♦,K♠ K♦,Type1212
A♠ A♦,K♠ Q♦,Type1212
A♠ A♦,K♠ J♦,Type1212
A♠ A♦,K♠ T♦,Type1212
A♠ A♦,K♠ 9♦,Type1212
A♠ A♦,K♠ 8♦,Type1212
A♠ A♦,K♠ 7♦,Type1212
A♠ A♦,K♠ 6♦,Type1212
A♠ A♦,K♠ 5♦,Type1212
A♠ A♦,K♠ 4♦,Type1212
A♠ A♦,K♠ 3♦,Type1212
A♠ A♦,K♠ 2♦,Type1212
A♠ A♦,K♦ Q♠,Type1212
A♠ A♦,K♦ J♠,Type1212
A♠ A♦,K♦ T♠,Type1212
A♠ A♦,K♦ 9♠,Type1212
A♠ A♦,K♦ 8♠,Type1212
A♠ A♦,K♦ 7♠,Type1212
A♠ A♦,K♦ 6♠,Type1212
A♠ A♦,K♦ 5♠,Type1212
A♠ A♦,K♦ 4♠,Type1212
A♠ A♦,K♦ 3♠,Type1212
A♠ A♦,K♦ 2♠,Type1212
A♠ A♦,Q♠ Q♦,Type1212
A♠ A♦,Q♠ J♦,Type1212
A♠ A♦,Q♠ T♦,Type1212
A♠ A♦,Q♠ 9♦,Type1212
A♠ A♦,Q♠ 8♦,Type1212
A♠ A♦,Q♠ 7♦,Type1212
A♠ A♦,Q♠ 6♦,Type1212
A♠ A♦,Q♠ 5♦,Type1212
A♠ A♦,Q♠ 4♦,Type1212
A♠ A♦,Q♠ 3♦,Type1212
A♠ A♦,Q♠ 2♦,Type1212
A♠ A♦,Q♦ J♠,Type1212
A♠ A♦,Q♦ T♠,Type1212
A♠ A♦,Q♦ 9♠,Type1212
A♠ A♦,Q♦ 8♠,Type1212
A♠ A♦,Q♦ 7♠,Type1212
A♠ A♦,Q♦ 6♠,Type1212
A♠ A♦,Q♦ 5♠,Type1212
A♠ A♦,Q♦ 4♠,Type1212
A♠ A♦,Q♦ 3♠,Type1212
A♠ A♦,Q♦ 2♠,Type1212
A♠ A♦,J♠ J♦,Type1212
A♠ A♦,J♠ T♦,Type1212
A♠ A♦,J♠ 9♦,Type1212
A♠ A♦,J♠ 8♦,Type1212
A♠ A♦,J♠ 7♦,Type1212
A♠ A♦,J♠ 6♦,Type1212
A♠ A♦,J♠ 5♦,Type1212
A♠ A♦,J♠ 4♦,Type1212
A♠ A♦,J♠ 3♦,Type1212
A♠ A♦,J♠ 2♦,Type1212
A♠ A♦,J♦ T♠,Type1212
A♠ A♦,J♦ 9♠,Type1212
A♠ A♦,J♦ 8♠,Type1212
A♠ A♦,J♦ 7♠,Type1212
A♠ A♦,J♦ 6♠,Type1212
A♠ A♦,J♦ 5♠,Type1212
A♠ A♦,J♦ 4♠,Type1212
A♠ A♦,J♦ 3♠,Type1212
A♠ A♦,J♦ 2♠,Type1212
A♠ A♦,T♠ T♦,Type1212
A♠ A♦,T♠ 9♦,Type1212
A♠ A♦,T♠ 8♦,Type1212
A♠ A♦,T♠ 7♦,Type1212
A♠ A♦,T♠ 6♦,Type1212
A♠ A♦,T♠ 5♦,Type1212
A♠ A♦,T♠ 4♦,Type1212
A♠ A♦,T♠ 3♦,Type1212
A♠ A♦,T♠ 2♦,Type1212
A♠ A♦,T♦ 9♠,Type1212
A♠ A♦,T♦ 8♠,Type1212
A♠ A♦,T♦ 7♠,Type1212
A♠ A♦,T♦ 6♠,Type1212
A♠ A♦,T♦ 5♠,Type1212
A♠ A♦,T♦ 4♠,Type1212
A♠ A♦,T♦ 3♠,Type1212
A♠ A♦,T♦ 2♠,Type1212
A♠ A♦,9♠ 9♦,Type1212
A♠ A♦,9♠ 8♦,Type1212
A♠ A♦,9♠ 7♦,Type1212
A♠ A♦,9♠ 6♦,Type1212
A♠ A♦,9♠ 5♦,Type1212
A♠ A♦,9♠ 4♦,Type1212
A♠ A♦,9♠ 3♦,Type1212
A♠ A♦,9♠ 2♦,Type1212
A♠ A♦,9♦ 8♠,Type1212
A♠ A♦,9♦ 7♠,Type1212
A♠ A♦,9♦ 6♠,Type1212
A♠ A♦,9♦ 5♠,Type1212
A♠ A♦,9♦ 4♠,Type1212
A♠ A♦,9♦ 3♠,Type1212
A♠ A♦,9♦ 2♠,Type1212
A♠ A♦,8♠ 8♦,Type1212
A♠ A♦,8♠ 7♦,Type1212
A♠ A♦,8♠ 6♦,Type1212
A♠ A♦,8♠ 5♦,Type1212
A♠ A♦,8♠ 4♦,Type1212
A♠ A♦,8♠ 3♦,Type1212
A♠ A♦,8♠ 2♦,Type1212
A♠ A♦,8♦ 7♠,Type1212
A♠ A♦,8♦ 6♠,Type1212
A♠ A♦,8♦ 5♠,Type1212
A♠ A♦,8♦ 4♠,Type1212
A♠ A♦,8♦ 3♠,Type1212
A♠ A♦,8♦ 2♠,Type1212
A♠ A♦,7♠ 7♦,Type1212
A♠ A♦,7♠ 6♦,Type1212
A♠ A♦,7♠ 5♦,Type1212
A♠ A♦,7♠ 4♦,Type1212
A♠ A♦,7♠ 3♦,Type1212
A♠ A♦,7♠ 2♦,Type1212
A♠ A♦,7♦ 6♠,Type1212
A♠ A♦,7♦ 5♠,Type1212
A♠ A♦,7♦ 4♠,Type1212
A♠ A♦,7♦ 3♠,Type1212
A♠ A♦,7♦ 2♠,Type1212
A♠ A♦,6♠ 6♦,Type1212
A♠ A♦,6♠ 5♦,Type1212
A♠ A♦,6♠ 4♦,Type1212
A♠ A♦,6♠ 3♦,Type1212
A♠ A♦,6♠ 2♦,Type1212
A♠ A♦,6♦ 5♠,Type1212
A♠ A♦,6♦ 4♠,Type1212
A♠ A♦,6♦ 3♠,Type1212
A♠ A♦,6♦ 2♠,Type1212
A♠ A♦,5♠ 5♦,Type1212
A♠ A♦,5♠ 4♦,Type1212
A♠ A♦,5♠ 3♦,Type1212
A♠ A♦,5♠ 2♦,Type1212
A♠ A♦,5♦ 4♠,Type1212
A♠ A♦,5♦ 3♠,Type1212
A♠ A♦,5♦ 2♠,Type1212
A♠ A♦,4♠ 4♦,Type1212
A♠ A♦,4♠ 3♦,Type1212
A♠ A♦,4♠ 2♦,Type1212
A♠ A♦,4♦ 3♠,Type1212
A♠ A♦,4♦ 2♠,Type1212
A♠ A♦,3♠ 3♦,Type1212
A♠ A♦,3♠ 2♦,Type1212
A♠ A♦,3♦ 2♠,Type1212
A♠ A♦,2♠ 2♦,Type1212
A♠ A♣,K♠ K♣,Type1212
A♠ A♣,K♠ Q♣,Type1212
A♠ A♣,K♠ J♣,Type1212
A♠ A♣,K♠ T♣,Type1212
A♠ A♣,K♠ 9♣,Type1212
A♠ A♣,K♠ 8♣,Type1212
A♠ A♣,K♠ 7♣,Type1212
A♠ A♣,K♠ 6♣,Type1212
A♠ A♣,K♠ 5♣,Type1212
A♠ A♣,K♠ 4♣,Type1212
A♠ A♣,K♠ 3♣,Type1212
A♠ A♣,K♠ 2♣,Type1212
A♠ A♣,K♣ Q♠,Type1212
A♠ A♣,K♣ J♠,Type1212
A♠ A♣,K♣ T♠,Type1212
A♠ A♣,K♣ 9♠,Type1212
A♠ A♣,K♣ 8♠,Type1212
A♠ A♣,K♣ 7♠,Type1212
A♠ A♣,K♣ 6♠,Type1212
A♠ A♣,K♣ 5♠,Type1212
A♠ A♣,K♣ 4♠,Type1212
A♠ A♣,K♣ 3♠,Type1212
A♠ A♣,K♣ 2♠,Type1212
A♠ A♣,Q♠ Q♣,Type1212
A♠ A♣,Q♠ J♣,Type1212
A♠ A♣,Q♠ T♣,Type1212
A♠ A♣,Q♠ 9♣,Type1212
A♠ A♣,Q♠ 8♣,Type1212
A♠ A♣,Q♠ 7♣,Type1212
A♠ A♣,Q♠ 6♣,Type1212
A♠ A♣,Q♠ 5♣,Type1212
A♠ A♣,Q♠ 4♣,Type1212
A♠ A♣,Q♠ 3♣,Type1212
A♠ A♣,Q♠ 2♣,Type1212
A♠ A♣,Q♣ J♠,Type1212
A♠ A♣,Q♣ T♠,Type1212
A♠ A♣,Q♣ 9♠,Type1212
A♠ A♣,Q♣ 8♠,Type1212
A♠ A♣,Q♣ 7♠,Type1212
A♠ A♣,Q♣ 6♠,Type1212
A♠ A♣,Q♣ 5♠,Type1212
A♠ A♣,Q♣ 4♠,Type1212
A♠ A♣,Q♣ 3♠,Type1212
A♠ A♣,Q♣ 2♠,Type1212
A♠ A♣,J♠ J♣,Type1212
A♠ A♣,J♠ T♣,Type1212
A♠ A♣,J♠ 9♣,Type1212
A♠ A♣,J♠ 8♣,Type1212
A♠ A♣,J♠ 7♣,Type1212
A♠ A♣,J♠ 6♣,Type1212
A♠ A♣,J♠ 5♣,Type1212
A♠ A♣,J♠ 4♣,Type1212
A♠ A♣,J♠ 3♣,Type1212
A♠ A♣,J♠ 2♣,Type1212
A♠ A♣,J♣ T♠,Type1212
A♠ A♣,J♣ 9♠,Type1212
A♠ A♣,J♣ 8♠,Type1212
A♠ A♣,J♣ 7♠,Type1212
A♠ A♣,J♣ 6♠,Type1212
A♠ A♣,J♣ 5♠,Type1212
A♠ A♣,J♣ 4♠,Type1212
A♠ A♣,J♣ 3♠,Type1212
A♠ A♣,J♣ 2♠,Type1212
A♠ A♣,T♠ T♣,Type1212
A♠ A♣,T♠ 9♣,Type1212
A♠ A♣,T♠ 8♣,Type1212
A♠ A♣,T♠ 7♣,Type1212
A♠ A♣,T♠ 6♣,Type1212
A♠ A♣,T♠ 5♣,Type1212
A♠ A♣,T♠ 4♣,Type1212
A♠ A♣,T♠ 3♣,Type1212
A♠ A♣,T♠ 2♣,Type1212
A♠ A♣,T♣ 9♠,Type1212
A♠ A♣,T♣ 8♠,Type1212
A♠ A♣,T♣ 7♠,Type1212
A♠ A♣,T♣ 6♠,Type1212
A♠ A♣,T♣ 5♠,Type1212
A♠ A♣,T♣ 4♠,Type1212
A♠ A♣,T♣ 3♠,Type1212
A♠ A♣,T♣ 2♠,Type1212
A♠ A♣,9♠ 9♣,Type1212
A♠ A♣,9♠ 8♣,Type1212
A♠ A♣,9♠ 7♣,Type1212
A♠ A♣,9♠ 6♣,Type1212
A♠ A♣,9♠ 5♣,Type1212
A♠ A♣,9♠ 4♣,Type1212
A♠ A♣,9♠ 3♣,Type1212
A♠ A♣,9♠ 2♣,Type1212
A♠ A♣,9♣ 8♠,Type1212
A♠ A♣,9♣ 7♠,Type1212
A♠ A♣,9♣ 6♠,Type1212
A♠ A♣,9♣ 5♠,Type1212
A♠ A♣,9♣ 4♠,Type1212
A♠ A♣,9♣ 3♠,Type1212
A♠ A♣,9♣ 2♠,Type1212
A♠ A♣,8♠ 8♣,Type1212
A♠ A♣,8♠ 7♣,Type1212
A♠ A♣,8♠ 6♣,Type1212
A♠ A♣,8♠ 5♣,Type1212
A♠ A♣,8♠ 4♣,Type1212
A♠ A♣,8♠ 3♣,Type1212
A♠ A♣,8♠ 2♣,Type1212
A♠ A♣,8♣ 7♠,Type1212
A♠ A♣,8♣ 6♠,Type1212
A♠ A♣,8♣ 5♠,Type1212
A♠ A♣,8♣ 4♠,Type1212
A♠ A♣,8♣ 3♠,Type1212
A♠ A♣,8♣ 2♠,Type1212
A♠ A♣,7♠ 7♣,Type1212
A♠ A♣,7♠ 6♣,Type1212
A♠ A♣,7♠ 5♣,Type1212
A♠ A♣,7♠ 4♣,Type1212
A♠ A♣,7♠ 3♣,Type1212
A♠ A♣,7♠ 2♣,Type1212
A♠ A♣,7♣ 6♠,Type1212
A♠ A♣,7♣ 5♠,Type1212
A♠ A♣,7♣ 4♠,Type1212
A♠ A♣,7♣ 3♠,Type1212
A♠ A♣,7♣ 2♠,Type1212
A♠ A♣,6♠ 6♣,Type1212
A♠ A♣,6♠ 5♣,Type1212
A♠ A♣,6♠ 4♣,Type1212
A♠ A♣,6♠ 3♣,Type1212
A♠ A♣,6♠ 2♣,Type1212
A♠ A♣,6♣ 5♠,Type1212
A♠ A♣,6♣ 4♠,Type1212
A♠ A♣,6♣ 3♠,Type1212
A♠ A♣,6♣ 2♠,Type1212
A♠ A♣,5♠ 5♣,Type1212
A♠ A♣,5♠ 4♣,Type1212
A♠ A♣,5♠ 3♣,Type1212
A♠ A♣,5♠ 2♣,Type1212
A♠ A♣,5♣ 4♠,Type1212
A♠ A♣,5♣ 3♠,Type1212
A♠ A♣,5♣ 2♠,Type1212
A♠ A♣,4♠ 4♣,Type1212
A♠ A♣,4♠ 3♣,Type1212
A♠ A♣,4♠ 2♣,Type1212
A♠ A♣,4♣ 3♠,Type1212
A♠ A♣,4♣ 2♠,Type1212
A♠ A♣,3♠ 3♣,Type1212
A♠ A♣,3♠ 2♣,Type1212
A♠ A♣,3♣ 2♠,Type1212
A♠ A♣,2♠ 2♣,Type1212
A♠ K♥,A♥ K♠,Type1212
A♠ K♥,A♥ Q♠,Type1212
A♠ K♥,A♥ J♠,Type1212
A♠ K♥,A♥ T♠,Type1212
A♠ K♥,A♥ 9♠,Type1212
A♠ K♥,A♥ 8♠,Type1212
A♠ K♥,A♥ 7♠,Type1212
A♠ K♥,A♥ 6♠,Type1212
A♠ K♥,A♥ 5♠,Type1212
A♠ K♥,A♥ 4♠,Type1212
A♠ K♥,A♥ 3♠,Type1212
A♠ K♥,A♥ 2♠,Type1212
A♠ K♥,K♠ Q♥,Type1212
A♠ K♥,K♠ J♥,Type1212
A♠ K♥,K♠ T♥,Type1212
A♠ K♥,K♠ 9♥,Type1212
A♠ K♥,K♠ 8♥,Type1212
A♠ K♥,K♠ 7♥,Type1212
A♠ K♥,K♠ 6♥,Type1212
A♠ K♥,K♠ 5♥,Type1212
A♠ K♥,K♠ 4♥,Type1212
A♠ K♥,K♠ 3♥,Type1212
A♠ K♥,K♠ 2♥,Type1212
A♠ K♥,Q♠ Q♥,Type1212
A♠ K♥,Q♠ J♥,Type1212
A♠ K♥,Q♠ T♥,Type1212
A♠ K♥,Q♠ 9♥,Type1212
A♠ K♥,Q♠ 8♥,Type1212
A♠ K♥,Q♠ 7♥,Type1212
A♠ K♥,Q♠ 6♥,Type1212
A♠ K♥,Q♠ 5♥,Type1212
A♠ K♥,Q♠ 4♥,Type1212
A♠ K♥,Q♠ 3♥,Type1212
A♠ K♥,Q♠ 2♥,Type1212
A♠ K♥,Q♥ J♠,Type1212
A♠ K♥,Q♥ T♠,Type1212
A♠ K♥,Q♥ 9♠,Type1212
A♠ K♥,Q♥ 8♠,Type1212
A♠ K♥,Q♥ 7♠,Type1212
A♠ K♥,Q♥ 6♠,Type1212
A♠ K♥,Q♥ 5♠,Type1212
A♠ K♥,Q♥ 4♠,Type1212
A♠ K♥,Q♥ 3♠,Type1212
A♠ K♥,Q♥ 2♠,Type1212
A♠ K♥,J♠ J♥,Type1212
A♠ K♥,J♠ T♥,Type1212
A♠ K♥,J♠ 9♥,Type1212
A♠ K♥,J♠ 8♥,Type1212
A♠ K♥,J♠ 7♥,Type1212
A♠ K♥,J♠ 6♥,Type1212
A♠ K♥,J♠ 5♥,Type1212
A♠ K♥,J♠ 4♥,Type1212
A♠ K♥,J♠ 3♥,Type1212
A♠ K♥,J♠ 2♥,Type1212
A♠ K♥,J♥ T♠,Type1212
A♠ K♥,J♥ 9♠,Type1212
A♠ K♥,J♥ 8♠,Type1212
A♠ K♥,J♥ 7♠,Type1212
A♠ K♥,J♥ 6♠,Type1212
A♠ K♥,J♥ 5♠,Type1212
A♠ K♥,J♥ 4♠,Type1212
A♠ K♥,J♥ 3♠,Type1212
A♠ K♥,J♥ 2♠,Type1212
A♠ K♥,T♠ T♥,Type1212
A♠ K♥,T♠ 9♥,Type1212
A♠ K♥,T♠ 8♥,Type1212
A♠ K♥,T♠ 7♥,Type1212
A♠ K♥,T♠ 6♥,Type1212
A♠ K♥,T♠ 5♥,Type1212
A♠ K♥,T♠ 4♥,Type1212
A♠ K♥,T♠ 3♥,Type1212
A♠ K♥,T♠ 2♥,Type1212
A♠ K♥,T♥ 9♠,Type1212
A♠ K♥,T♥ 8♠,Type1212
A♠ K♥,T♥ 7♠,Type1212
A♠ K♥,T♥ 6♠,Type1212
A♠ K♥,T♥ 5♠,Type1212
A♠ K♥,T♥ 4♠,Type1212
A♠ K♥,T♥ 3♠,Type1212
A♠ K♥,T♥ 2♠,Type1212
A♠ K♥,9♠ 9♥,Type1212
A♠ K♥,9♠ 8♥,Type1212
A♠ K♥,9♠ 7♥,Type1212
A♠ K♥,9♠ 6♥,Type1212
A♠ K♥,9♠ 5♥,Type1212
A♠ K♥,9♠ 4♥,Type1212
A♠ K♥,9♠ 3♥,Type1212
A♠ K♥,9♠ 2♥,Type1212
A♠ K♥,9♥ 8♠,Type1212
A♠ K♥,9♥ 7♠,Type1212
A♠ K♥,9♥ 6♠,Type1212
A♠ K♥,9♥ 5♠,Type1212
A♠ K♥,9♥ 4♠,Type1212
A♠ K♥,9♥ 3♠,Type1212
A♠ K♥,9♥ 2♠,Type1212
A♠ K♥,8♠ 8♥,Type1212
A♠ K♥,8♠ 7♥,Type1212
A♠ K♥,8♠ 6♥,Type1212
A♠ K♥,8♠ 5♥,Type1212
A♠ K♥,8♠ 4♥,Type1212
A♠ K♥,8♠ 3♥,Type1212
A♠ K♥,8♠ 2♥,Type1212
A♠ K♥,8♥ 7♠,Type1212
A♠ K♥,8♥ 6♠,Type1212
A♠ K♥,8♥ 5♠,Type1212
A♠ K♥,8♥ 4♠,Type1212
A♠ K♥,8♥ 3♠,Type1212
A♠ K♥,8♥ 2♠,Type1212
A♠ K♥,7♠ 7♥,Type1212
A♠ K♥,7♠ 6♥,Type1212
A♠ K♥,7♠ 5♥,Type1212
A♠ K♥,7♠ 4♥,Type1212
A♠ K♥,7♠ 3♥,Type1212
A♠ K♥,7♠ 2♥,Type1212
A♠ K♥,7♥ 6♠,Type1212
A♠ K♥,7♥ 5♠,Type1212
A♠ K♥,7♥ 4♠,Type1212
A♠ K♥,7♥ 3♠,Type1212
A♠ K♥,7♥ 2♠,Type1212
A♠ K♥,6♠ 6♥,Type1212
A♠ K♥,6♠ 5♥,Type1212
A♠ K♥,6♠ 4♥,Type1212
A♠ K♥,6♠ 3♥,Type1212
A♠ K♥,6♠ 2♥,Type1212
A♠ K♥,6♥ 5♠,Type1212
A♠ K♥,6♥ 4♠,Type1212
A♠ K♥,6♥ 3♠,Type1212
A♠ K♥,6♥ 2♠,Type1212
A♠ K♥,5♠ 5♥,Type1212
A♠ K♥,5♠ 4♥,Type1212
A♠ K♥,5♠ 3♥,Type1212
A♠ K♥,5♠ 2♥,Type1212
A♠ K♥,5♥ 4♠,Type1212
A♠ K♥,5♥ 3♠,Type1212
A♠ K♥,5♥ 2♠,Type1212
A♠ K♥,4♠ 4♥,Type1212
A♠ K♥,4♠ 3♥,Type1212
A♠ K♥,4♠ 2♥,Type1212
A♠ K♥,4♥ 3♠,Type1212
A♠ K♥,4♥ 2♠,Type1212
A♠ K♥,3♠ 3♥,Type1212
A♠ K♥,3♠ 2♥,Type1212
A♠ K♥,3♥ 2♠,Type1212
A♠ K♥,2♠ 2♥,Type1212
A♠ K♦,A♦ K♠,Type1212
A♠ K♦,A♦ Q♠,Type1212
A♠ K♦,A♦ J♠,Type1212
A♠ K♦,A♦ T♠,Type1212
A♠ K♦,A♦ 9♠,Type1212
A♠ K♦,A♦ 8♠,Type1212
A♠ K♦,A♦ 7♠,Type1212
A♠ K♦,A♦ 6♠,Type1212
A♠ K♦,A♦ 5♠,Type1212
A♠ K♦,A♦ 4♠,Type1212
A♠ K♦,A♦ 3♠,Type1212
A♠ K♦,A♦ 2♠,Type1212
A♠ K♦,K♠ Q♦,Type1212
A♠ K♦,K♠ J♦,Type1212
A♠ K♦,K♠ T♦,Type1212
A♠ K♦,K♠ 9♦,Type1212
A♠ K♦,K♠ 8♦,Type1212
A♠ K♦,K♠ 7♦,Type1212
A♠ K♦,K♠ 6♦,Type1212
A♠ K♦,K♠ 5♦,Type1212
A♠ K♦,K♠ 4♦,Type1212
A♠ K♦,K♠ 3♦,Type1212
A♠ K♦,K♠ 2♦,Type1212
A♠ K♦,Q♠ Q♦,Type1212
A♠ K♦,Q♠ J♦,Type1212
A♠ K♦,Q♠ T♦,Type1212
A♠ K♦,Q♠ 9♦,Type1212
A♠ K♦,Q♠ 8♦,Type1212
A♠ K♦,Q♠ 7♦,Type1212
A♠ K♦,Q♠ 6♦,Type1212
A♠ K♦,Q♠ 5♦,Type1212
A♠ K♦,Q♠ 4♦,Type1212
A♠ K♦,Q♠ 3♦,Type1212
A♠ K♦,Q♠ 2♦,Type1212
A♠ K♦,Q♦ J♠,Type1212
A♠ K♦,Q♦ T♠,Type1212
A♠ K♦,Q♦ 9♠,Type1212
A♠ K♦,Q♦ 8♠,Type1212
A♠ K♦,Q♦ 7♠,Type1212
A♠ K♦,Q♦ 6♠,Type1212
A♠ K♦,Q♦ 5♠,Type1212
A♠ K♦,Q♦ 4♠,Type1212
A♠ K♦,Q♦ 3♠,Type1212
A♠ K♦,Q♦ 2♠,Type1212
A♠ K♦,J♠ J♦,Type1212
A♠ K♦,J♠ T♦,Type1212
A♠ K♦,J♠ 9♦,Type1212
A♠ K♦,J♠ 8♦,Type1212
A♠ K♦,J♠ 7♦,Type1212
A♠ K♦,J♠ 6♦,Type1212
A♠ K♦,J♠ 5♦,Type1212
A♠ K♦,J♠ 4♦,Type1212
A♠ K♦,J♠ 3♦,Type1212
A♠ K♦,J♠ 2♦,Type1212
A♠ K♦,J♦ T♠,Type1212
A♠ K♦,J♦ 9♠,Type1212
A♠ K♦,J♦ 8♠,Type1212
